X	Displacement
1.33	6.60533825164523
1.335	6.99492816336191
1.34	7.39463542524947
1.345	7.80329451578561
1.35	8.21986074321801
1.355	8.64360906810438
1.36	9.07293736833238
1.365	9.50679315319973
1.37	9.9447028168341
1.375	10.3849823726732
1.38	10.8260881760147
1.385	11.2670788376763
1.39	11.7061144509556
1.395	12.1417916933905
1.4	12.5724129359785
1.405	12.9955555024274
1.41	13.4101376649648
1.415	13.8142532470685
1.42	14.2056725286061
1.425	14.5834658204553
1.43	14.9457210960638
1.435	15.2909707153393
1.44	15.6183161718795
1.445	15.9266153213921
1.45	16.2157609778547
1.455	16.4850651378451
1.46	16.7343757901809
1.465	16.9644550292899
1.47	17.1752463508797
1.475	17.368036161178
1.48	17.5442609365226
1.485	17.704404059431
1.49	17.850675796151
1.495	17.9851889473103
1.5	18.1094949886066
1.505	18.2261413723375
1.51	18.3368861760708
1.515	18.4439864434041
1.52	18.5503170713551
1.525	18.6575601230716
1.53	18.7680077161711
1.535	18.8836128365715
1.54	19.0052876651603
1.545	19.1345758852253
1.55	19.2719452846542
1.555	19.4170469949947
1.56	19.5701753339044
1.565	19.730712459081
1.57	19.8980444326023
1.575	20.0716235765558
1.58	20.2501225861694
1.585	20.4332393736107
1.59	20.6203327128074
1.595	20.8103228281771
1.6	21.0032058428076
1.605	21.1984964540366
1.61	21.3958185052617
1.615	21.5951837043907
1.62	21.7957442169412
1.625	21.9974727724209
1.63	22.2005350499575
1.635	22.4039974527787
1.64	22.6077528014022
1.645	22.8112417276657
1.65	23.0132928534769
1.655	23.2137346751834
1.66	23.411600470913
1.665	23.6061067238132
1.67	23.796758389892
1.675	23.9820800333768
1.68	24.1622431834255
1.685	24.3370782918456
1.69	24.505273648495
1.695	24.6670007792612
1.7	24.821390411542
1.705	24.967536243255
1.71	25.105479222648
1.715	25.2339056808486
1.72	25.3520593924246
1.725	25.4594043729836
1.73	25.5545606936433
1.735	25.6370235625414
1.74	25.7059607463656
1.745	25.7603178120335
1.75	25.8000440954729
1.755	25.8245353935515
1.76	25.833495461927
1.765	25.8275714120169
1.77	25.8069308784091
1.775	25.7720553012413
1.78	25.723246803661
1.785	25.660351422296
1.79	25.5842813380341
1.795	25.4954380689428
1.8	25.3937612030798
1.805	25.279609385543
1.81	25.1524739200898
1.815	25.0128381925082
1.82	24.8613610110056
1.825	24.6975629229499
1.83	24.5221319638087
1.835	24.3354599070496
1.84	24.1377377775705
1.845	23.930450777979
1.85	23.7146319287427
1.855	23.4913240047394
1.86	23.2622577921167
1.865	23.0286807121624
1.87	22.7922748214841
1.875	22.5549970038395
1.88	22.3176892789963
1.885	22.0821896335123
1.89	21.850433516295
1.895	21.6232005718622
1.9	21.4020637173015
1.905	21.1877655611108
1.91	20.9808401577276
1.915	20.7828253404096
1.92	20.5946001485945
1.925	20.4173554848901
1.93	20.252303683484
1.935	20.1004543778039
1.94	19.9639320685374
1.945	19.8439588377424
1.95	19.7415540667164
1.955	19.6589377695772
1.96	19.5969597585024
1.965	19.5566277179998
1.97	19.539280668597
1.975	19.5451642114918
1.98	19.5755998334717
1.985	19.6311001508545
1.99	19.711162317428
1.995	19.8163769193897
2	19.9463054216174
2.005	20.1003299818087
2.01	20.2779847897714
2.015	20.4774942498931
2.02	20.6981450162516
2.025	20.9389840159545
2.03	21.1980914267695
2.035	21.4746525556643
2.04	21.7671296014266
2.045	22.0737001943641
2.05	22.3926608587144
2.055	22.7214290805853
2.06	23.0579700416545
2.065	23.4000891023496
2.07	23.7449484271783
2.075	24.0902734610384
2.08	24.4334563638874
2.085	24.7717119276132
2.09	25.1032587229233
2.095	25.4256409320756
2.1	25.7365664531476
2.105	26.0347508641471
2.11	26.3180540985317
2.115	26.5850806327891
2.12	26.8346454463871
2.125	27.0645539030234
2.13	27.2736073299155
2.135	27.4605817248612
2.14	27.6235027024083
2.145	27.7609630487943
2.15	27.8711949673569
2.155	27.952719124484
2.16	28.0048903897231
2.165	28.0260247830519
2.17	28.0152803200182
2.175	27.9722613548196
2.18	27.8954768537838
2.185	27.7845915941685
2.19	27.6392995903014
2.195	27.4592812108001
2.2	27.2454232973225
2.205	26.9982832913461
2.21	26.7190267595187
2.215	26.4096710086579
2.22	26.0718337810114
2.225	25.708187269567
2.23	25.3215264525423
2.235	24.9138101593449
2.24	24.4880282798127
2.245	24.0468374123033
2.25	23.5926232422143
2.255	23.1282470175835
2.26	22.6557455344285
2.265	22.1777481094971
2.27	21.6965468604069
2.275	21.2132742058157
2.28	20.729838306481
2.285	20.2470616798907
2.29	19.7651470477323
2.295	19.2850826118536
2.3	18.8063167965024
2.305	18.3284948799261
2.31	17.8516811908727
2.315	17.3742736072296
2.32	16.8955509972047
2.325	16.4151878793856
2.33	15.9320070289201
2.335	15.4455621215457
2.34	14.9550014314802
2.345	14.4599176161314
2.35	13.9610864156367
2.355	13.4581297179341
2.36	12.9508935629211
2.365	12.4400328609655
2.37	11.9257951556448
2.375	11.4089016173369
2.38	10.8897498662695
2.385	10.3677590961601
2.39	9.8431086351165
2.395	9.3165099056464
2.4	8.78802139300747
2.405	8.25767819868741
2.41	7.72541797163391
2.415	7.19173384550464
2.42	6.65675057537731
2.425	6.11957159395961
2.43	5.58094341085922
2.435	5.04138254677383
2.44	4.50105274172113
2.445	3.96105717728883
2.45	3.42139586459459
2.455	2.88304920326612
2.46	2.3479253573311
2.465	1.81686633347723
2.47	1.29124624914219
2.475	0.772651663853679
2.48	0.262472270059379
2.485	-0.237093362783016
2.49	-0.724437237025816
2.495	-1.19818329612133
2.5	-1.65553460639187
2.505	-2.09428480269975
2.51	-2.51243021739727
2.515	-2.90700239876675
2.52	-3.27556694495049
2.525	-3.61554911877081
2.53	-3.92485559899002
2.535	-4.20197778942042
2.54	-4.44456120373432
2.545	-4.65110308596404
2.55	-4.82057626567189
2.555	-4.95233168252016
2.56	-5.04699692341119
2.565	-5.10416851481727
2.57	-5.12403745613071
2.575	-5.10838323426383
2.58	-5.05807512508894
2.585	-4.97403892642834
2.59	-4.85753761561434
2.595	-4.70993942146926
2.6	-4.53337076809541
2.605	-4.32946886797508
2.61	-4.09935832185061
2.615	-3.84458863099429
2.62	-3.56626489713843
2.625	-3.26552730911535
2.63	-2.94358233538735
2.635	-2.60088993938674
2.64	-2.23883199564585
2.645	-1.85833625417696
2.65	-1.4594319376624
2.655	-1.04334305157448
2.66	-0.610777088535494
2.665	-0.162544847007767
2.67	0.300554561526395
2.675	0.778977237974684
2.68	1.27175060716479
2.685	1.7777130421444
2.69	2.2971042940812
2.695	2.8293182076529
2.7	3.37329645520716
2.705	3.9285030588917
2.71	4.49356978334419
2.715	5.06733109723232
2.72	5.6488007894838
2.725	6.23564777977629
2.73	6.82652137302751
2.735	7.42010011449513
2.74	8.01422834300685
2.745	8.60721038175035
2.75	9.19641499710333
2.755	9.78000812912347
2.76	10.3569002543585
2.765	10.924571237436
2.77	11.4811850760338
2.775	12.0253384574995
2.78	12.5549829210708
2.785	13.0686157395555
2.79	13.5643463310611
2.795	14.0406368911054
2.8	14.4966746657661
2.805	14.9304852630509
2.81	15.3407062976274
2.815	15.7263164745934
2.82	16.0856746901665
2.825	16.4188101925344
2.83	16.7252357203048
2.835	17.0037428626355
2.84	17.255427021784
2.845	17.4809547918282
2.85	17.6803554242256
2.855	17.854810073714
2.86	18.005644115111
2.865	18.1348300268044
2.87	18.2436230290318
2.875	18.332793021711
2.88	18.4042754472095
2.885	18.4594366207452
2.89	18.4992939681557
2.895	18.5251572761686
2.9	18.5380576196018
2.905	18.5395932515028
2.91	18.5313955565593
2.915	18.5145423934791
2.92	18.4909653100599
2.925	18.4626894022592
2.93	18.4315838426249
2.935	18.4002058247846
2.94	18.370436214806
2.945	18.3445320497468
2.95	18.3254754270347
2.955	18.3148762932373
2.96	18.3144517986024
2.965	18.3263595819976
2.97	18.3522641695607
2.975	18.3945317411393
2.98	18.4544954770411
2.985	18.5328687585038
2.99	18.6314915177351
2.995	18.7508354502727
3	18.8908518475043
3.005	19.0518584206676
3.01	19.2333874073802
3.015	19.4356941436299
3.02	19.6586051735743
3.025	19.9008965015511
3.03	20.162410263078
3.035	20.4426845458028
3.04	20.741189218633
3.045	21.0578970012665
3.05	21.3913578069708
3.055	21.7409635413137
3.06	22.1065329527728
3.065	22.4861169820459
3.07	22.8783532339907
3.075	23.2819514398547
3.08	23.6950736385858
3.085	24.1160826307816
3.09	24.5423939634398
3.095	24.9718149459081
3.1	25.4028525955941
3.105	25.8328172047357
3.11	26.2594946412903
3.115	26.6814211695459
3.12	27.0966789227299
3.125	27.5039113590002
3.13	27.9013194924345
3.135	28.2871023947303
3.14	28.6608683179254
3.145	29.0217908721975
3.15	29.3689715511443
3.155	29.7018451365735
3.16	30.0194312641727
3.165	30.3218585901297
3.17	30.6084430023221
3.175	30.8772997558077
3.18	31.128319715644
3.185	31.3607018312389
3.19	31.57284787832
3.195	31.7641575646749
3.2	31.9334068881015
3.205	32.0800910469273
3.21	32.20397811444
3.215	32.3039298441875
3.22	32.3801625970272
3.225	32.432920021967
3.23	32.4623775525445
3.235	32.4698352341574
3.24	32.4557920472234
3.245	32.4216435374903
3.25	32.3696798834655
3.255	32.301345360437
3.26	32.2187898115923
3.265	32.1242839229692
3.27	32.0202679431853
3.275	31.9092639853083
3.28	31.792665649436
3.285	31.672671505026
3.29	31.5522733875659
3.295	31.4332079365036
3.3	31.3175372805466
3.305	31.2075769276227
